Return,StdDev,AMD,AVGO,MU,NVDA,TSM,VOO
0.4442,0.2912,0.0,0.5284,0.0,0.3538,0.1178,0.0
0.4482,0.2943,0.0,0.534,0.0,0.3672,0.0988,0.0
0.4522,0.2975,0.0,0.5395,0.0,0.3806,0.0799,0.0
0.4562,0.3008,0.0,0.545,0.0,0.3941,0.0609,0.0
0.4602,0.3042,0.0,0.5505,0.0,0.4075,0.042,0.0
0.4642,0.3076,0.0,0.556,0.0,0.4209,0.023,0.0
0.4683,0.3111,0.0,0.5616,0.0,0.4343,0.0041,0.0
0.4723,0.3148,0.0,0.5393,0.0,0.4607,0.0,0.0
0.4763,0.319,0.0,0.5093,0.0,0.4907,0.0,0.0
0.4803,0.3237,0.0,0.4794,0.0,0.5206,0.0,0.0
0.4843,0.3288,0.0,0.4494,0.0,0.5506,0.0,0.0
0.4883,0.3344,0.0,0.4194,0.0,0.5806,0.0,0.0
0.4923,0.3404,0.0,0.3895,0.0,0.6105,0.0,0.0
0.4963,0.3467,0.0,0.3595,0.0,0.6405,0.0,0.0
0.5003,0.3534,0.0,0.3296,0.0,0.6704,0.0,0.0
0.5043,0.3605,0.0,0.2996,0.0,0.7004,0.0,0.0
0.5083,0.3679,0.0,0.2696,0.0,0.7304,0.0,0.0
0.5123,0.3756,0.0,0.2397,0.0,0.7603,0.0,0.0
0.5163,0.3836,0.0,0.2097,0.0,0.7903,0.0,0.0
0.5203,0.3919,0.0,0.1798,0.0,0.8202,0.0,0.0
0.5243,0.4004,0.0,0.1498,0.0,0.8502,0.0,0.0
0.5283,0.4092,0.0,0.1198,0.0,0.8802,0.0,0.0
0.5323,0.4182,0.0,0.0899,0.0,0.9101,0.0,0.0
0.5363,0.4274,0.0,0.0599,0.0,0.9401,0.0,0.0
0.5404,0.4368,0.0,0.03,0.0,0.97,0.0,0.0
0.5444,0.4464,0.0,0.0,0.0,1.0,0.0,0.0
