Ticker,AMD,AVGO,MU,NVDA,TSM,VOO
AMD,0.314926,0.0645,0.096844,0.126893,0.068924,0.041725
AVGO,0.0645,0.101141,0.046712,0.055159,0.037171,0.02115
MU,0.096844,0.046712,0.190855,0.090404,0.0508,0.031288
NVDA,0.126893,0.055159,0.090404,0.199249,0.063401,0.034315
TSM,0.068924,0.037171,0.0508,0.063401,0.0789,0.021738
VOO,0.041725,0.02115,0.031288,0.034315,0.021738,0.019533
